displacement (mm),userSpeed (Gamma/kA),userSpeed (m/s),longSpeed (Gamma/kA),longSpeed (m/s),forceProjOnVelAve (1e-3\hbar*k*\Gamma),forceProjOnVelStd (1e-3\hbar*k*\Gamma),accelProjOnVelAve (mm/ms^2),accelProjOnVelStd (mm/ms^2),forceProjOnPosAve (1e-3\hbar*k*\Gamma),forceProjOnPosStd (1e-3\hbar*k*\Gamma),accelProjOnPosAve (mm/ms^2),accelProjOnPosStd (mm/ms^2),forceProjOnLongAve (1e-3\hbar*k*\Gamma),forceProjOnLongStd (1e-3\hbar*k*\Gamma),accelProjOnLongAve (mm/ms^2),accelProjOnLongStd (mm/ms^2),PF1Down,PF0,PF1Up,PF2,PExc
0.5,-5.0,-21.978450000000002,32.0,140.66208,-23.865362939324694,1.761751121270643,-5.560370023364135,0.4104688517935704,23.8514540879025,1.7596422948652368,5.557129412244832,0.4099775181750996,0.0,0.0,0.0,0.0,0.2559596570057697,0.05725752438947044,0.23851437494320787,0.2602362453078287,0.18803219835373655
0.5,-4.0,-17.58276,32.0,140.66208,-20.69586372147524,1.1875881959580417,-4.821911174663096,0.276695134354116,20.687393154568348,1.1882415569233495,4.819937624693219,0.2768473603535768,0.0,0.0,0.0,0.0,0.2580899697472433,0.057370734357761875,0.22963223837379504,0.27153499699602845,0.18337206052518376
0.5,-3.0,-13.18707,32.0,140.66208,-22.444374301625583,1.8553702489209905,-5.22929512436967,0.4322810904058202,22.425503090929396,1.8555857041025647,5.224898337506364,0.4323312891200007,0.0,0.0,0.0,0.0,0.2673107572982862,0.05856111152286582,0.23257055298969384,0.2570518889887895,0.18450568920037733
0.5,-2.0,-8.79138,32.0,140.66208,-16.19855775074915,1.0699309296962882,-3.7740877927560654,0.2492822708658837,16.177306044324794,1.064008775095548,3.769136376276553,0.24790247324875117,0.0,0.0,0.0,0.0,0.27004608199553487,0.056859722270619736,0.24203526378868764,0.2615465356945289,0.16951239625064027
0.5,-1.0,-4.39569,32.0,140.66208,-3.2203915824815725,0.605410887584413,-0.7503162161937529,0.14105415281976427,3.240519610249801,0.6082584377610444,0.7550058277666605,0.1417176010431339,0.0,0.0,0.0,0.0,0.2362796008782579,0.05340170739596121,0.2278569587757222,0.32985999192510174,0.15260174102496765
0.5,-0.75,-3.2967675,32.0,140.66208,0.04893685714328595,0.6876699190346596,0.011401755514424199,0.16021961256113879,-0.0474094219684623,0.7160630877969755,-0.011045879729911126,0.16683491210029458,0.0,0.0,0.0,0.0,0.2359884270388295,0.05166324857109783,0.21530033989175226,0.35268379075297895,0.14436419374535164
0.5,-0.5,-2.197845,32.0,140.66208,3.7900476579604345,0.6830749744335759,0.88303988663501,0.15914904044020178,-3.750375049127792,0.6354033292802859,-0.8737966002260618,0.1480420655599653,0.0,0.0,0.0,0.0,0.2349537927334429,0.0479059209625473,0.19992379974127938,0.3903401422637282,0.12687634429901143
0.5,-0.25,-1.0989225,32.0,140.66208,2.6294905286191446,0.8227560715569872,0.6126426968333182,0.1916932170048012,-2.6224095239157412,0.797877494962168,-0.6109928997450356,0.18589677921864636,0.0,0.0,0.0,0.0,0.23940494282809163,0.0439831214905114,0.19665522422574458,0.41225948330275397,0.10769722815290843
0.5,-0.1,-0.43956900000000004,32.0,140.66208,0.4231644085136459,0.3821258908776547,0.09859270517008412,0.08903117686453878,-0.444262146904321,0.36111452525003856,-0.10350824877218816,0.08413575717690312,0.0,0.0,0.0,0.0,0.2467266115194589,0.039599095546595776,0.2057815825001951,0.4120976261494991,0.0957950842842591
0.5,-0.05,-0.21978450000000002,32.0,140.66208,-0.22825058404678403,0.13165975920096692,-0.05317990380350808,0.030675292062627733,0.19353318100822187,0.1115588524256225,0.04509112645553893,0.025991999386114812,0.0,0.0,0.0,0.0,0.24223724835470933,0.036139584484064756,0.21213160523025548,0.42006029235291875,0.08943126957806277
0.5,0.05,0.21978450000000002,32.0,140.66208,0.8668016437482959,0.11929238079621766,0.201955356319302,0.02779382739250298,0.8139609287592646,0.12124528674275542,0.18964404438220175,0.028248833239729595,0.0,0.0,0.0,0.0,0.24021495476285168,0.036587847027151885,0.21718593930906654,0.4174600687563295,0.08855119014461199
